Date,Open,High,Low,Close,Volume,RSI,MACD,Signal_Line
1980-01-02,0.0,108.43000030517578,105.29000091552734,105.76000213623048,40610000,,0.0,0.0
1980-01-03,0.0,106.08000183105467,103.26000213623048,105.22000122070312,50480000,,-0.043076996110457344,-0.00861539922209147
1980-01-04,0.0,107.08000183105467,105.08999633789062,106.5199966430664,39130000,,0.02736746508681165,-0.0014188263603108462
1980-01-07,0.0,107.8000030517578,105.8000030517578,106.80999755859376,44500000,,0.10538109073829105,0.019941157059409537
1980-01-08,0.0,109.29000091552734,106.29000091552734,108.9499969482422,53390000,,0.3360141551296323,0.0831557566734541
1980-01-09,0.0,111.08999633789062,108.41000366210938,109.0500030517578,65260000,,0.5208580496753115,0.17069621527382559
1980-01-10,0.0,110.86000061035156,108.47000122070312,109.88999938964844,55980000,,0.7267513153798717,0.2819072352950348
1980-01-11,0.0,111.16000366210938,108.88999938964844,109.91999816894533,52890000,,0.8821747017831427,0.4019607285926564
1980-01-14,0.0,111.44000244140624,109.33999633789062,110.37999725341795,52930000,,1.0305869719227445,0.527685977258674
1980-01-15,0.0,111.93000030517578,109.4499969482422,111.13999938964844,52320000,,1.1957467617095148,0.6612981341488422
1980-01-16,0.0,112.9000015258789,110.37999725341795,111.0500030517578,67700000,,1.3043395186427915,0.7899064110476322
1980-01-17,0.0,112.01000213623048,109.80999755859376,110.6999969482422,54170000,,1.346634331131824,0.9012519950644706
1980-01-18,0.0,111.73999786376952,109.87999725341795,111.06999969482422,47150000,,1.393940920916009,0.9997897802347783
1980-01-21,0.0,112.9000015258789,110.66000366210938,112.0999984741211,48040000,,1.4972842665778359,1.0992886775033899
1980-01-22,0.0,113.0999984741211,110.91999816894533,111.51000213623048,50620000,79.03999328234579,1.5141229717908118,1.1822555363608744
1980-01-23,0.0,113.93000030517578,110.93000030517578,113.44000244140624,50730000,84.82341936774152,1.6640208652133879,1.2786086021313772
1980-01-24,0.0,115.2699966430664,112.9499969482422,113.6999969482422,59070000,85.40755450348047,1.7832393365004577,1.3795347490051935
1980-01-25,0.0,114.4499969482422,112.36000061035156,113.61000061035156,47100000,84.19947880522207,1.8491431108508891,1.4734564213743326
1980-01-28,0.0,115.6500015258789,112.93000030517578,114.8499984741211,53620000,86.94046244161507,1.978621474635844,1.574489432026635
1980-01-29,0.0,115.7699966430664,113.02999877929688,114.06999969482422,55480000,77.79803867301662,1.995294119427868,1.6586503695068817
1980-01-30,0.0,115.8499984741211,113.37000274658205,115.1999969482422,51170000,80.92716317575798,2.075760569387427,1.742072409482991
1980-01-31,0.0,117.16999816894533,113.77999877929688,114.16000366210938,65900000,71.00796836643708,2.0321862658250467,1.800095180751402
1980-02-01,0.0,115.54000091552734,113.12999725341795,115.12000274658205,46610000,74.15682532386772,2.051469159905622,1.8503699765822461
1980-02-04,0.0,116.01000213623048,113.83000183105467,114.37000274658205,43070000,67.94778193334307,1.9833692146991666,1.8769698242056303
1980-02-05,0.0,115.25,112.1500015258789,114.66000366210938,41880000,69.02764955362076,1.9305460347680992,1.8876850663181242
1980-02-06,0.0,116.56999969482422,113.6500015258789,115.72000122070312,51950000,72.65419646005395,1.9517180376755334,1.900491660589606
1980-02-07,0.0,117.87000274658205,115.22000122070312,116.27999877929688,57690000,74.36211547457782,1.9907361581583416,1.9185405601033532
1980-02-08,0.0,118.66000366210938,115.72000122070312,117.9499969482422,57860000,78.64544637887776,2.1318386858808793,1.9612001852588585
1980-02-11,0.0,119.0500030517578,116.30999755859376,117.12000274658205,58660000,72.19008254521756,2.1518842777147427,1.9993370037500355
1980-02-12,0.0,118.41000366210938,115.75,117.9000015258789,48090000,74.32309488182315,2.205288740574474,2.0405273511149233
1980-02-13,0.0,120.22000122070312,117.56999969482422,118.44000244140624,65230000,75.71199425194602,2.265075344445961,2.085436949781131
1980-02-14,0.0,119.3000030517578,116.04000091552734,116.72000122070312,50540000,63.86265769042883,2.148895801731399,2.098128720171185
1980-02-15,0.0,116.6999969482422,114.12000274658205,115.41000366210938,46680000,56.59738188387915,1.9288818726885069,2.0642793506746493
1980-02-19,0.0,115.66999816894533,113.3499984741211,114.5999984741211,39480000,52.61181245802975,1.6699089289813287,1.9854052663359854
1980-02-20,0.0,117.18000030517578,114.05999755859376,116.47000122070312,44340000,59.67232665722858,1.5971536061006901,1.9077549342889264
1980-02-21,0.0,117.9000015258789,114.44000244140624,115.27999877929688,51530000,54.14384795314118,1.427021422123616,1.8116082318558644
1980-02-22,0.0,116.45999908447266,113.43000030517578,115.04000091552734,48210000,53.07584176957838,1.2583194948651197,1.7009504844577155
1980-02-25,0.0,114.93000030517578,112.62000274658205,113.33000183105467,39140000,46.09857489597784,0.9753956135523509,1.5558395102766427
1980-02-26,0.0,114.76000213623048,112.3000030517578,113.9800033569336,40000000,48.85107976376748,0.7944679580235459,1.4035651998260235
1980-02-27,0.0,115.12000274658205,111.91000366210938,112.37999725341795,46430000,43.026603744861156,0.5160259409268093,1.2260573480461807
1980-02-28,0.0,113.6999969482422,111.33000183105467,112.3499984741211,40330000,42.92327001129812,0.28959966091078115,1.038765810619101
1980-02-29,0.0,114.12000274658205,111.7699966430664,113.66000366210938,38810000,48.71549398774302,0.2134017110977453,0.8736929907148299
1980-03-03,0.0,114.33999633789062,112.01000213623048,112.5,38690000,44.417088528617825,0.05873462966744114,0.7107013185053521
1980-03-04,0.0,113.41000366210938,110.83000183105467,112.77999877929688,44310000,45.66336520482657,-0.04077653868496611,0.5604057470672885
1980-03-05,0.0,113.94000244140624,110.58000183105467,111.12999725341795,49240000,39.97514827916487,-0.24990049272138037,0.3983444991095548
